Country,Year,Forecast_CO2,Lower_95,Upper_95
United Kingdom,2035,145.16370277956844,32.65606936341261,257.6713361957243
United Kingdom,2036,131.80673298184465,14.705075400439,248.9083905632503
United Kingdom,2037,118.54878338772068,0.0,240.07091651465956
United Kingdom,2038,105.38911992346056,0.0,231.17647807653623
United Kingdom,2039,92.32701395729092,0.0,222.23963883470154
United Kingdom,2040,79.36174225905782,0.0,213.27261087675996
United Kingdom,2041,66.49258696018234,0.0,204.28573397902414
United Kingdom,2042,53.71883551391346,0.0,195.2878363465987
United Kingdom,2043,41.03978065587518,0.0,186.2865108365354
United States,2024,4959.1863106050305,4625.829609701441,5292.54301150862
United States,2025,4940.774522610162,4469.3369550843545,5412.21209013597
United States,2026,4925.562744115892,4348.172001107334,5502.9534871244505
United States,2027,4912.9948063890815,4246.281404581903,5579.70820819626
United States,2028,4902.611204053267,4157.202960077776,5648.019448028758
United States,2029,4894.032294783346,4077.478475231964,5710.586114334727
United States,2030,4886.944418930503,4004.965490462665,5768.923347398341
United States,2031,4881.088431587047,3938.213296535432,5823.963566638662
United States,2032,4876.250227803757,3876.1801250929893,5876.320330514525
United States,2033,4872.252914545423,3818.0864664105698,5926.419362680275
United States,2034,4868.950343177831,3763.3312449298965,5974.569441425766
United States,2035,4866.221766022842,3711.440280005724,6021.003252039959
United States,2036,4863.967421615997,3662.032743488593,6065.902099743402
United States,2037,4862.104887256148,3614.7983248896408,6109.411449622655
United States,2038,4860.56606549001,3569.4811145437616,6151.651016436259
United States,2039,4859.294694352391,3525.8678907380336,6192.721497966749
United States,2040,4858.244290332159,3483.7794014992255,6232.709179165093
United States,2041,4857.376448855291,3443.063746277868,6271.689151432713
United States,2042,4856.65944014772,3403.5912687568593,6309.727611538579
United States,2043,4856.067049140334,3365.250561189351,6346.8835370913175
