Country,Year,Scenario,CO2_Projected
Brazil,2038,Aggressive,270.4720845133504
Brazil,2039,BAU,529.0520005066197
Brazil,2039,Moderate,398.7157768029896
Brazil,2039,Aggressive,258.0054232980949
Brazil,2040,BAU,531.1106320201329
Brazil,2040,Moderate,392.26190289654284
Brazil,2040,Aggressive,246.05889805953132
China,2025,BAU,10869.83235310018
China,2025,Moderate,10869.83235310018
China,2025,Aggressive,10869.83235310018
China,2026,BAU,11076.775186579553
China,2026,Moderate,10855.239682847961
China,2026,Aggressive,10522.936427250574
China,2027,BAU,11254.16867622293
China,2027,Moderate,10808.503596644501
China,2027,Aggressive,10156.887230291193
China,2028,BAU,11406.232169501576
China,2028,Moderate,10735.454468077527
China,2028,Aggressive,9779.418306326412
China,2029,BAU,11536.58253373755
China,2029,Moderate,10640.97640433164
China,2029,Aggressive,9396.618577370069
China,2030,BAU,11648.320184176211
China,2030,Moderate,10529.158862262082
China,2030,Aggressive,9013.248112412039
China,2031,BAU,11744.102828119963
China,2031,Moderate,10403.424010373423
China,2031,Aggressive,8632.99475161711
China,2032,BAU,11826.20867914546
China,2032,Moderate,10266.63371587014
China,2032,Aggressive,8258.682592034877
China,2033,BAU,11896.590644969869
China,2033,Moderate,10121.179415532759
China,2033,Aggressive,7892.441296555334
China,2034,BAU,11956.92277783784
China,2034,Moderate,9969.057607985314
China,2034,Aggressive,7535.8435228550325
China,2035,BAU,12008.640092262958
China,2035,Moderate,9811.933267087623
China,2035,Aggressive,7190.016413256805
China,2036,BAU,12052.97269719837
China,2036,Moderate,9651.19310837806
China,2036,Aggressive,6855.731982372081
China,2037,BAU,12090.975054478637
China,2037,Moderate,9487.990331509669
China,2037,Aggressive,6533.480340364829
China,2038,BAU,12123.551059451973
China,2038,Moderate,9323.282202056618
China,2038,Aggressive,6223.528957604523
China,2039,BAU,12151.475540351845
China,2039,Moderate,9157.861618015544
China,2039,Aggressive,5925.970580363954
China,2040,BAU,12175.412687775708
China,2040,Moderate,8992.383623147969
China,2040,Aggressive,5640.761921822273
Germany,2025,BAU,757.1890545469546
Germany,2025,Moderate,757.1890545469546
Germany,2025,Aggressive,757.1890545469546
Germany,2026,BAU,750.0862105511542
Germany,2026,Moderate,735.0844863401311
Germany,2026,Aggressive,712.5819000235964
Germany,2027,BAU,743.0188807753328
Germany,2027,Moderate,713.5953330966296
Germany,2027,Aggressive,670.5745398997378
Germany,2028,BAU,735.9868876483906
Germany,2028,Moderate,692.704970759564
Germany,2028,Aggressive,631.0167577975388
Germany,2029,BAU,728.9900544870831
Germany,2029,Moderate,672.3972152155504
Germany,2029,Aggressive,593.7669555675697
Germany,2030,BAU,722.0282054915821
